X = -1.172, Y = 3.79
X = -1.08, Y = 3.157
X = -0.941, Y = 2.752
X = -0.783, Y = 2.292
X = -0.567, Y = 1.658
X = -0.356, Y = 1.041
X = -0.25, Y = 0.731
X = -0.169, Y = 0.493
X = 0.088, Y = -0.257
X = 0.014, Y = -0.041
X = -2.832, Y = 0.654
X = -2.321, Y = 0.536
X = -1.782, Y = 0.412
X = -1.327, Y = 0.307
X = -0.718, Y = 0.166
X = 0.007, Y = -0.001
X = 8.876, Y = -1.824
X = 8.795, Y = -1.891
X = 8.487, Y = -2.143
X = 8.103, Y = -2.457
X = 7.912, Y = -2.613
X = 7.517, Y = -2.937
X = 7.115, Y = -3.267
X = 6.83, Y = -3.501
X = 6.163, Y = -4.047
X = 6.088, Y = -4.109
X = 5.904, Y = -4.26
X = 5.696, Y = -4.43
X = 5.046, Y = -4.962
X = 8.734, Y = 0.313
X = 8.165, Y = 1.024
X = 7.589, Y = 1.747
X = 7.174, Y = 2.269
X = 6.571, Y = 3.026
X = 6.314, Y = 3.349
X = 6.092, Y = 3.627
X = 6.062, Y = 3.665
X = 5.666, Y = 4.163
X = 5.564, Y = 4.291
X = 5.212, Y = 4.734
X = 4.882, Y = 5.149
X = -3.826, Y = 6.614
X = -4.29, Y = 5.976
X = -4.429, Y = 5.785
X = -4.894, Y = 5.145
X = -8.177, Y = 6.453
X = -7.781, Y = 6.272
X = -6.929, Y = 5.882
X = -6.121, Y = 5.512
X = -5.393, Y = 5.18
X = -5.057, Y = 5.026
X = 5.631, Y = 3.306
X = 5.493, Y = 3.676
X = 5.152, Y = 4.591
X = 5.104, Y = 4.719
X = 5.076, Y = 4.794
X = 5.007, Y = 4.981
X = 8.185, Y = 8.896
X = 7.694, Y = 8.296
X = 7.522, Y = 8.086
X = 7.052, Y = 7.511
X = 6.85, Y = 7.264
X = 6.448, Y = 6.772
X = 6.398, Y = 6.71
X = 6.39, Y = 6.7
X = 6.112, Y = 6.36
X = 5.61, Y = 5.746
X = 5.459, Y = 5.561
X = 4.9, Y = 4.877
X = 4.962, Y = 4.953
X = 6.31, Y = -7.853
X = 6.151, Y = -7.506
X = 5.758, Y = -6.649
X = 5.44, Y = -5.957
X = 5.367, Y = -5.797
X = 5.366, Y = -5.794
X = 5.059, Y = -5.129
X = -9.186, Y = -3.237
X = -8.752, Y = -3.42
X = -8.613, Y = -3.478
X = -8.261, Y = -3.626
X = -8.05, Y = -3.715
X = -7.446, Y = -3.969
X = -6.965, Y = -4.172
X = -6.089, Y = -4.541
X = -5.579, Y = -4.756
X = -4.921, Y = -5.033
X = -6.709, Y = 8.068
X = -6.682, Y = 8.019
X = -6.285, Y = 7.307
X = -6.016, Y = 6.824
X = -5.801, Y = 6.438
X = -5.358, Y = 5.643
X = -5.277, Y = 5.497
X = -5.164, Y = 5.294
X = -4.133, Y = 6.801
X = -4.134, Y = 6.799
X = -4.327, Y = 6.399
X = -4.637, Y = 5.756
X = -4.712, Y = 5.601
X = -5.014, Y = 4.971
X = 9.482, Y = -0.885
X = 8.985, Y = -1.341
X = 8.26, Y = -2.006
X = 8.2, Y = -2.061
X = 7.687, Y = -2.531
X = 7.212, Y = -2.968
X = 6.923, Y = -3.234
X = 6.407, Y = -3.707
X = 6.318, Y = -3.788
X = 5.862, Y = -4.208
X = 5.858, Y = -4.211
X = 5.67, Y = -4.384
X = 5.329, Y = -4.698
X = 4.735, Y = -5.243
X = 2.487, Y = 1.399
X = 2.025, Y = 1.139
X = 1.4, Y = 0.788
X = 0.781, Y = 0.44
X = 0.255, Y = 0.143
X = 0.137, Y = 0.077
X = 1.582, Y = 4.664
X = 2.221, Y = 4.727
X = 3.092, Y = 4.813
X = 3.864, Y = 4.889
X = 4.079, Y = 4.91
X = 4.253, Y = 4.927
X = 4.585, Y = -6.209
X = 4.626, Y = -6.09
X = 4.865, Y = -5.394
X = 5.09, Y = -4.737
X = -5.096, Y = 4.654
X = -5.015, Y = 4.945
X = 2.052, Y = -9.046
X = 2.564, Y = -8.344
X = 2.642, Y = -8.237
X = 2.994, Y = -7.754
X = 3.137, Y = -7.558
X = 3.494, Y = -7.068
X = 3.667, Y = -6.831
X = 3.932, Y = -6.468
X = 3.94, Y = -6.457
X = 4.308, Y = -5.95
X = 4.624, Y = -5.517
X = 5.01, Y = -4.986
X = 1.69, Y = -9.694
X = 2.052, Y = -9.181
X = 2.063, Y = -9.165
X = 2.506, Y = -8.537
X = 2.956, Y = -7.898
X = 3.362, Y = -7.322
X = 3.437, Y = -7.215
X = 4.012, Y = -6.4
X = 4.428, Y = -5.812
X = 4.92, Y = -5.113
X = -3.044, Y = -7.558
X = -3.109, Y = -7.473
X = -3.458, Y = -7.017
X = -3.628, Y = -6.795
X = -3.666, Y = -6.745
X = -4.216, Y = -6.025
X = -4.387, Y = -5.802
X = -4.956, Y = -5.058
X = -3.133, Y = 2.003
X = -2.603, Y = 2.373
X = -2.347, Y = 2.15
X = -2.312, Y = 2.118
X = -1.729, Y = 1.584
X = -1.497, Y = 1.371
X = -1.451, Y = 1.328
X = -0.855, Y = 0.783
X = -0.823, Y = 0.753
X = -0.149, Y = 0.137
X = -0.035, Y = 0.032
X = -5.81, Y = -0.76
X = -5.647, Y = -1.612
X = -5.555, Y = -2.094
X = -5.515, Y = -2.301
X = -5.456, Y = -2.61
X = -5.328, Y = -3.281
X = -5.239, Y = -3.746
X = -5.208, Y = -3.909
X = -5.142, Y = -4.258
X = -4.98, Y = -5.106
X = -4.981, Y = -5.103
X = -5.692, Y = 7.099
X = -5.563, Y = 6.708
X = -5.258, Y = 5.782
X = -5.066, Y = 5.201
X = -4.994, Y = 4.981
X = -6.641, Y = 3.656
X = -6.217, Y = 4.003
X = -5.461, Y = 4.622
X = -4.733, Y = 5.219
X = -5.096, Y = 4.921
X = -5.08, Y = 4.934
X = -7.041, Y = -4.91
X = -6.081, Y = -4.952
X = -5.26, Y = -4.988
X = 0.644, Y = -8.824
X = 1.207, Y = -8.329
X = 1.62, Y = -7.966
X = 2.148, Y = -7.503
X = 2.576, Y = -7.127
X = 3.282, Y = -6.508
X = 3.585, Y = -6.242
X = 3.814, Y = -6.041
X = 4.545, Y = -5.399
X = 5.111, Y = -4.903
X = 4.954, Y = -5.041
X = 7.44, Y = -1.154
X = 7.381, Y = -1.247
X = 7.018, Y = -1.818
X = 6.581, Y = -2.506
X = 6.328, Y = -2.905
X = 5.901, Y = -3.579
